TEAM,Record,YEAR,CONF,Rank,SEED,Games,Wins,Losses,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,POSTSEASON
Wisconsin,23–10,2019,B10,15,5,33,23,10,108.9,88.8,0.9126,51.5,44.8,14.4,17.2,24,26.5,27.5,25.9,49.8,43.7,36.6,31.2,64.8,6.2,R64
Louisville,20–13,2019,ACC,18,7,33,20,13,112.9,92.7,0.9061,50.9,46.4,17.8,16.3,29.2,25.8,35.1,31.6,50.6,45.7,34.2,31.7,68.6,2.3,R64
Kansas St.,25–8,2019,B12,19,4,33,25,8,106.5,87.5,0.9053,49.5,48.1,17.4,22.9,28.1,25.6,30.7,30.5,49,49.1,33.6,31.2,64.7,6.6,R64
Mississippi St.,23–10,2019,SEC,21,5,33,23,10,116.4,96.6,0.8948,54.6,50.1,19.3,19.7,34.9,29.8,32.3,31.7,53.3,48.5,37.8,35.3,68.8,4.6,R64
Nevada,29–4,2019,MWC,31,7,33,29,4,112.9,95.5,0.8723,54.1,47.6,14.4,19.2,26.5,24.7,40.7,27.6,55.1,46,35.1,33.4,70.8,4.1,R64
Saint Mary's,22–11,2019,WCC,33,11,33,22,11,114.2,97.3,0.8629,54,48.6,16.3,16.4,31.3,23.2,29.7,29.4,52.5,49.1,37.8,31.8,64.1,-0.6,R64
Marquette,24–9,2019,BE,34,5,33,24,9,112.2,95.7,0.8624,54.1,45.9,19.5,16.6,29.1,26.2,35.9,35.7,50.5,44.8,39.3,31.9,70.4,2.8,R64
Syracuse,20–13,2019,ACC,36,8,33,20,13,109.4,93.4,0.8597,49.5,47.5,18.4,23.2,30.1,33.3,36.8,34.8,49.5,46.5,33,32.3,67.4,0.5,R64
Utah St.,27–6,2019,MWC,41,8,33,27,6,111.2,95.9,0.8459,54.3,46.2,17.9,17.2,31.7,22.2,36.7,34.1,54.7,42.1,35.7,34.8,69.5,2.2,R64
Seton Hall,20–13,2019,BE,64,10,33,20,13,107.8,97,0.7713,49.9,49.3,17.5,20,29.3,29.4,34.8,32.6,50.8,48.7,32.4,33.6,70.3,-0.3,R64
Northeastern,23–10,2019,CAA,97,13,33,23,10,110,102.8,0.6855,57.2,51.8,16.7,16.7,22.7,24.3,34.3,28,56.4,52.5,38.8,33.6,67.5,-2.6,R64
Colgate,23–10,2019,Pat,141,15,33,23,10,108.4,105.5,0.5776,55.9,50.6,19.3,18,30.3,26.9,28.9,28.6,53.9,50.4,39.1,33.9,67.9,-4.1,R64
Bradley,19–14,2019,MVC,175,15,33,19,14,100,101.1,0.4676,49.7,47.6,18.9,18.6,27.1,26.7,36.3,35.3,46.7,46.4,36.8,33,66.4,-7.6,R64
Saint Joseph's,21–12,2008,A10,47,11,33,21,12,113.3,98.5,0.8328,54.6,50.3,19.3,21.6,32.5,34.1,40,32.6,52.8,47.2,38.5,36.9,65.5,-1.2,R64
Vanderbilt,26–7,2008,SEC,48,4,33,26,7,111.6,97.2,0.8312,54.4,49.3,19.7,20.4,30.8,33.7,38.9,31.5,50.6,48,40.4,34.7,70.5,3.8,R64
Temple,21–12,2008,A10,69,12,33,21,12,110.6,98.8,0.7848,54.5,49,19.1,19.3,28.5,32.3,35.3,31.7,53.6,46.2,37.2,35.9,65.5,-1.7,R64
George Mason,23–10,2008,CAA,80,12,33,23,10,109.2,98.8,0.7594,52.8,47.3,18.7,18.3,32.2,27.8,40.3,27.3,52.8,46.4,35.2,32.8,63.8,-3.6,R64
Illinois,24–9,2009,B10,23,5,33,24,9,106.4,87.1,0.9088,51,43.8,19.5,21.7,30.7,32.8,22.9,26.3,50.3,44,35.3,29,63.6,3.8,R64
Tennessee,21–12,2009,SEC,32,9,33,21,12,114.1,96.1,0.8776,50.9,50.2,18.6,21.1,38.1,31,36.7,37.2,52.8,50.1,31.4,33.7,69.7,1.2,R64
Utah St.,29–4,2009,WAC,52,11,33,29,4,115,100.4,0.8265,55.9,47.5,18.3,17.1,36.4,27.8,38.3,29.9,54.2,44.3,39.9,36.7,61.5,2.4,R64
Temple,22–11,2009,A10,54,11,33,22,11,107.4,93.9,0.8245,51.3,46,19.3,18.1,32.7,29.8,28.5,29.8,49.1,43.3,36.7,34.3,65,-0.5,R64
Boston College,22–11,2009,ACC,58,7,33,22,11,112.3,99.1,0.8091,50,47.2,19.6,18.4,40.8,37.1,37,34.7,49.7,46.4,33.7,32.7,67,0.5,R64
VCU,24–9,2009,CAA,61,11,33,24,9,107.8,95.2,0.8063,52.2,45,19,21.8,32.2,34.2,36.3,37.7,50.7,42.6,36.9,33.4,67.4,-2.3,R64
Morgan St.,22–11,2009,MEAC,160,15,33,22,11,97.9,97.9,0.499,47,44.2,19.8,22.8,38.6,33,34,41,45.5,43.8,34.1,30.1,66.4,-5.8,R64
Georgetown,23–10,2010,BE,13,3,33,23,10,115.2,92.6,0.9247,55.6,46.7,20.8,19.8,32.8,32.2,37.2,33,54.6,45.6,38.8,32.6,66.6,4.3,R64
Texas,24–9,2010,B12,15,8,33,24,9,113.3,91.6,0.9203,51.3,44.8,18.7,20.3,39.6,31.6,40.4,35.3,51.2,43.5,34.5,32.1,72.9,3.9,R64
Marquette,22–11,2010,BE,20,6,33,22,11,114.1,93.6,0.9065,52.5,49.3,15.8,22.1,31.4,33.1,35.1,29.5,47.9,50,40.6,31.7,64.1,1.8,R64
Utah St.,26–7,2010,WAC,24,12,33,26,7,115,94.9,0.9016,55.5,45.7,16.3,17.6,33.8,27,30.4,29.8,52.2,44.6,42.2,32.1,61.8,-0.4,R64
Florida,21–12,2010,SEC,50,10,33,21,12,111.8,96.1,0.8504,49.4,48.1,18.3,20.6,36.7,33,33.8,26.9,50.5,48.1,31.3,32.1,65.7,0,R64
Siena,27–6,2010,MAAC,63,13,33,27,6,108.1,95.6,0.803,49.8,47.9,17.4,21.7,35.6,29.9,39.2,21,50.3,47.2,32.3,32.9,70.6,0.9,R64
Wofford,25–8,2010,SC,88,13,33,25,8,103.5,94.6,0.7396,49.2,46.8,18.2,21.6,33.5,29.3,44.6,35.8,48,47,34.7,30.9,64.6,-1.9,R64
Houston,18–15,2010,CUSA,89,13,33,18,15,111.1,101.5,0.7383,48.1,51.3,12.5,23.4,30.8,38.3,33.3,39.7,45.2,51.5,35.6,33.7,72.7,-6.4,R64
East Tennessee St.,19–14,2010,ASun,160,16,33,19,14,97.9,97,0.5293,48,48.1,21.2,24.2,35.1,33.8,40,39.3,48.3,47.6,31.4,32.6,68.3,-8.1,R64
Vanderbilt,23–10,2011,SEC,29,5,33,23,10,114.4,96,0.8828,52.8,45.7,19.1,17.8,32.8,32.2,45,28.2,51.1,45.7,37,30.6,68.1,1.8,R64
Tennessee,19–14,2011,SEC,40,9,33,19,14,109.1,93.6,0.8541,47.8,47.5,19.5,20.8,38.2,32.1,39.7,38.8,48.8,46.3,30.4,33.2,67.2,-1.1,R64
Penn St.,19–14,2011,B10,47,10,33,19,14,111.4,96.4,0.8415,49.9,50.6,17.7,18.1,32.3,30.2,31.8,29.1,49.6,47.9,33.6,36.7,60.8,1.7,R64
Old Dominion,27–6,2011,CAA,59,9,33,27,6,107.7,94.9,0.8099,48.7,47.3,20.4,18.8,45.3,27.4,37,27.7,48.4,42.5,32.9,37,61.7,2.3,R64
Oakland,24–9,2011,Sum,67,13,33,24,9,115.5,102.9,0.7904,56.1,49.4,18.8,16.6,36.3,31.7,40,30.8,55.8,47.5,37.7,36.1,72.7,0.3,R64
Wofford,21–12,2011,SC,91,14,33,21,12,110.6,102.8,0.7004,53.3,50,18,20.4,34.6,32.7,42,41.6,50.5,48.8,40.7,35.1,64.7,-4.6,R64
Bucknell,25–8,2011,Pat,97,14,33,25,8,103.7,96.7,0.6928,51.2,45,17.1,18,26,28.8,34.3,35.8,47.1,43.7,40.2,31.5,66.1,-2.2,R64
Saint Peter's,20–13,2011,MAAC,140,14,33,20,13,93.5,91.4,0.5641,45.9,42.2,22.9,21.6,32.5,34.1,39.8,42.4,43,40.6,34.8,30.6,65.1,-5.9,R64
Duke,27–6,2012,ACC,13,2,33,27,6,117.2,94.9,0.9185,53,47.1,17.7,18.8,34.7,32.2,45.3,31.9,50.9,47,37.6,31.7,68.2,8,R64
Connecticut,20–13,2012,BE,32,9,33,20,13,110.3,94.1,0.8616,50.2,44.4,19.3,16.9,36.8,34.6,34.4,24.9,50.5,40.5,33.1,34.3,64.2,0.5,R64
Belmont,26–7,2012,ASun,34,14,33,26,7,115,98.5,0.8556,55.7,47.8,17.6,20.7,34.6,31.9,39.2,35.8,54.7,46.6,38.1,33.7,68.1,0.8,R64
Texas,20–13,2012,B12,37,11,33,20,13,110.9,95.9,0.8423,48.7,46.9,18.7,20.3,38.9,34.6,43.1,41.9,48.6,44.2,32.7,35.3,65.7,0.9,R64
Notre Dame,22–11,2012,BE,56,7,33,22,11,108,96,0.7955,49.2,45.5,16,17.3,30.7,32.1,37.9,24.7,49.1,45.1,32.9,31,62.1,2.3,R64
New Mexico St.,24–9,2012,WAC,87,13,33,24,9,105.9,97.3,0.7256,50.7,47.8,20.7,20.4,40.7,29.7,52.8,33.2,51.3,47.7,32.8,32,71.1,-2,R64
Detroit,20–13,2012,Horz,127,15,33,20,13,106.3,102.5,0.6038,48.5,50.9,19.1,22.4,35.3,33,44,38.7,50.1,48.5,29.6,37,67.9,-5.2,R64
Long Island,25–8,2012,NEC,162,16,33,25,8,106.7,105.8,0.5242,53.3,49.1,21.5,18.4,34.8,34,49.8,22.3,52.3,49,36.8,32.8,74.3,-2.6,R64
Western Kentucky,15–18,2012,SB,202,16,33,15,18,96.4,99.5,0.4092,44.8,47.4,21.9,21.3,33.6,32.8,40.3,38.8,44.1,46.5,30.8,33.3,68.6,-10.3,R64
Wisconsin,23–11,2013,B10,10,5,34,23,11,108.4,85.2,0.9407,49.2,43,15.6,18,32.6,26.7,29.9,25.6,48.5,42.7,33.4,29.2,62.1,4.6,R64
Georgetown,25–6,2013,BE,11,2,31,25,6,106.9,84.2,0.9392,51.4,42.8,20.1,22.6,30.6,31.3,37,33.6,50.4,41.3,35.8,30.5,62.2,6.6,R64
Notre Dame,25–9,2013,BE,24,7,34,25,9,114.5,95.9,0.885,52.3,46.5,17.4,16.2,34.1,29.8,32.2,24.7,50.5,45.7,37.3,32.2,61.7,3.9,R64
North Carolina St.,24–10,2013,ACC,33,8,34,24,10,115.6,97.8,0.8724,54.1,46.6,17.9,16.9,34.9,33,41.2,28.1,52.5,47.4,39.3,29.9,68.2,2.2,R64
New Mexico,29–5,2013,MWC,36,3,34,29,5,106.3,90.3,0.8677,48.7,45.5,17.6,19.5,28.9,27.8,45.8,25.2,46.2,41.7,35.4,34.3,65.5,6.9,R64
UCLA,25–9,2013,P12,39,6,34,25,9,110.9,94.6,0.8612,49.5,47.1,15.7,20,30.2,34,32.9,24.4,49.1,46.9,33.9,31.9,69.5,3.3,R64
Oklahoma,20–11,2013,B12,49,10,31,20,11,109.2,94.7,0.8372,47.9,47.4,17.6,19.7,33.6,31.4,36.1,31.5,47.5,46.5,32.6,32.7,66.9,0.3,R64
Belmont,24–6,2013,OVC,54,11,30,24,6,108.5,94.7,0.8271,56.8,47.4,19.8,25,30.4,33.9,32.4,36.9,57.1,46.2,37.6,32.9,67.5,0.1,R64
Akron,25–6,2013,MAC,65,12,31,25,6,105.2,93.7,0.7909,51.4,44,20.4,20.5,37.8,30.2,36.8,35.5,52.2,42.2,33.2,32.2,66.6,0.3,R64
South Dakota St.,22–9,2013,Sum,114,13,31,22,9,109.7,104.1,0.6446,53.5,50.9,16.3,17.1,29,26,33.5,24.7,50.2,49.6,39.4,35.5,64.1,-3.2,R64
Northwestern St.,19–8,2013,Slnd,135,14,27,19,8,104.7,101.9,0.5771,49.3,47.6,19,22,35.3,37,40.8,40.6,50.2,46.5,31.4,34,73.2,-3.2,R64
Albany,24–10,2013,AE,144,15,34,24,10,100.8,99,0.5521,49.8,47.9,21.2,19.9,31.7,28.3,40.3,27.4,47.4,47.1,36.4,33.1,63.3,-4.5,R64
Montana,23–6,2013,BSky,154,13,29,23,6,102.9,101.8,0.531,54,48.3,18.9,18.5,25.1,30.6,41.3,35.1,52.5,47.8,37.8,33.1,63.8,-1.4,R64
Southern,20–9,2013,SWAC,172,16,29,20,9,96.3,97,0.4787,49.1,41.6,16.8,20.3,26.7,31.1,40.3,35.2,46.2,40.4,36.4,29.6,65.1,-5.7,R64
Western Kentucky,19–15,2013,SB,179,16,34,19,15,99.2,100.5,0.462,49.1,47.9,22.4,20.7,34.8,31.1,37.9,37,48.7,47.4,33.2,32.8,66,-8.4,R64
James Madison,20–14,2013,CAA,185,16,34,20,14,97.9,99.7,0.4485,47.4,48.7,17.2,21.3,29.2,30.5,38.3,39.8,46.1,46.7,33.3,35,64.5,-8.9,R64
North Carolina A&T,18–16,2013,MEAC,229,16,34,18,16,90.7,95.9,0.345,45.2,44.5,22.5,23.6,30.2,33.4,43.2,41.3,45.1,42.5,30.2,31.8,66.9,-11.5,R64
Duke,26–8,2014,ACC,4,3,34,26,8,126,97.6,0.9497,54,49,14.4,18.7,35.1,31.7,39.3,40.2,50.8,50,39.4,30.5,66.7,6.5,R64
VCU,26–8,2014,A10,24,5,34,26,8,107.7,89.6,0.8928,47.8,47.5,17.2,25.6,35.1,30.7,35.7,39.5,45.5,48.5,34.9,30.1,71,3.6,R64
Ohio St.,25–9,2014,B10,13,6,34,25,9,109.3,88.3,0.9211,50.3,45.2,17.1,22,30,30,42.8,29.7,51,45.7,32.6,29.4,65.3,4.5,R64
Colorado,23–11,2014,P12,58,8,34,23,11,108,95.5,0.8048,48.5,49.3,19.4,18.1,34.3,26,48.4,30.6,48.7,46.9,32,35.7,67,2.4,R64
Nebraska,19–12,2014,B10,56,11,31,19,12,108.6,95.8,0.8084,48.3,47.7,16.7,19,26.1,28.9,42.8,43.1,47.1,47.6,33.9,31.9,66.3,1.3,R64
Providence,22–12,2014,BE,51,11,34,22,12,113.2,99.3,0.8187,48.1,48.9,17.3,16.4,35.4,30,41.9,34.3,46,48.7,35,32.9,65,1.2,R64
North Carolina St.,21–13,2014,ACC,65,12,34,21,13,113.2,101.4,0.7804,49.8,47.4,15.9,17.5,34.7,36.2,36.4,43.1,51.3,47.1,30.3,32,66.5,0.6,R64
New Mexico St.,25–9,2014,WAC,74,13,34,25,9,111.9,102,0.743,53.5,44.4,18.8,16.1,37.9,33.2,54.8,33.7,53.2,42.8,36.2,33.1,67.1,-2.3,R64
Louisiana Lafayette,20–11,2014,SB,113,14,31,20,11,110.1,104.4,0.6496,51.9,50.1,19.1,18.7,36.7,32.1,44.9,44.1,49.9,50.3,37.4,33,70.2,-3.8,R64
North Carolina Central,26–5,2014,MEAC,101,14,31,26,5,106.1,99.3,0.6806,50.2,43.4,17.4,24,35.4,32.8,50.8,45.3,50.8,42.2,32.6,30.3,64.3,-0.6,R64
Delaware,25–9,2014,CAA,121,13,34,25,9,110.7,105.8,0.627,50.6,49.1,13.5,16.7,29.5,32.7,43.2,37.8,49.9,49.5,34.5,32.1,72.3,-1.4,R64
Eastern Kentucky,22–9,2014,OVC,132,15,31,22,9,111,107.2,0.6002,57,55.5,16,24.2,23,33.4,43.7,55.3,56.2,56.1,38.6,36.3,66.2,-3.3,R64
Western Michigan,22–9,2014,MAC,138,14,31,22,9,104.3,101.9,0.5677,52.4,47.3,20.9,18.5,31.4,31.6,51.7,34.9,54.1,47.6,33,31.2,67,-2.9,R64
Cal Poly,11–19,2014,BW,179,16,30,11,19,102.9,104,0.4693,46.3,49.1,14.8,17.9,30.8,33,33,42.9,44.1,48.3,33.5,34,60.3,-10.7,R64
Weber St.,17–11,2014,BSky,183,16,28,17,11,105,106.5,0.4574,54.8,47.4,19.1,13.6,28,28.7,50,35.1,52.2,46.7,39.4,33.1,64.4,-6.9,R64
Wofford,17–12,2014,SC,204,15,29,17,12,99.9,103.1,0.4101,49.2,49.3,16.4,19.7,31.2,29.1,33.9,40,47.3,49.6,35.9,32.5,62.2,-6.5,R64
Coastal Carolina,18–12,2014,BSth,232,16,30,18,12,97.2,102.5,0.3513,47.9,47.2,20.4,18.5,34.8,29.9,38.9,39.1,47.9,46.5,32,32.1,67.6,-7.7,R64
St. John's,20–11,2015,BE,31,9,31,20,11,109.8,93.3,0.8676,49.3,46.1,15.7,19.5,27.8,35.4,36.2,32.6,47.9,44.8,35.1,32.4,66.9,2.4,R64
Davidson,23–7,2015,A10,37,10,30,23,7,119.3,102.1,0.8571,56,49.1,14.3,17.3,29.8,30.1,29,35.4,53.5,51.3,39.3,29.8,67.3,1.7,R64
Oklahoma St.,17–13,2015,B12,38,9,30,17,13,110,94.3,0.8555,50.1,46,18.6,21.2,26.9,33.1,39.7,42.4,49,43.5,34.6,34.3,63.9,0.2,R64
VCU,26–9,2015,A10,40,7,35,26,9,108.9,93.6,0.8513,48.8,49.3,15.7,23.8,31.7,30.8,37.5,37.7,47.2,48.1,34.2,34.4,67.4,3,R64
Stephen F. Austin,26–4,2015,Slnd,61,12,30,26,4,111.2,98.9,0.7932,56.2,48.8,20.3,24.4,37.7,29.9,42.4,49,55.6,48.2,38.1,33.6,66.5,1.2,R64
Valparaiso,25–5,2015,Horz,67,13,30,25,5,104.8,94.1,0.7742,51.4,44.9,19.1,18.6,35,27.6,36.7,32.7,48.5,42.1,38.1,33,63.2,0.1,R64
UC Irvine,19–12,2015,BW,90,13,31,19,12,104.9,97,0.7096,50.7,44.7,18,17.3,29.8,30.7,31,36.1,47.7,42.3,38.3,33.6,64.1,-4.5,R64
Harvard,20–7,2015,Ivy,94,13,27,20,7,100.7,93.8,0.6933,47.3,46.1,18.7,19.9,32.3,27.8,39,33.1,45.8,44.1,34.1,33.4,61.8,-1.3,R64
New Mexico St.,21–10,2015,WAC,107,15,31,21,10,104,98,0.6642,51,45.9,21.9,20.5,39.5,30.7,44.8,32.5,49.7,46.4,36.3,29.5,64.2,-4.5,R64
Northeastern,23–11,2015,CAA,111,14,34,23,11,106.4,100.8,0.6505,54.6,49.6,21.4,15.6,29.6,25.6,42.2,24.7,52.9,48.7,38.8,34.4,63.7,-4.6,R64
Eastern Washington,23–8,2015,BSky,133,13,31,23,8,110.5,107.5,0.578,55.4,52,15.9,17.7,29.3,30.6,35.6,35.1,52.3,49,39.6,38.4,68.5,-2.6,R64
Coastal Carolina,20–9,2015,BSth,149,16,29,20,9,103.8,102.8,0.5283,49.9,47.1,17.8,17,35.2,27.6,39.6,35.6,48.2,45.1,35.4,33.5,63.9,-5.1,R64
Belmont,21–10,2015,OVC,154,15,31,21,10,107,106.4,0.5171,56.5,51.3,20.3,18.7,29.2,29.5,33,27.7,56.3,51.2,37.9,34.3,67.4,-4.7,R64
North Dakota St.,21–9,2015,Sum,170,15,30,21,9,100.2,100.8,0.4833,49.2,47.8,15.9,16.6,26.5,23.4,36.2,30,45.1,44.4,37.8,36.4,61.2,-4,R64
Lafayette,19–12,2015,Pat,197,16,31,19,12,110.3,113.7,0.4118,56.3,52.9,16.9,16.9,27.6,34.4,31,27.6,53,50.8,41.4,37.6,65.2,-7.1,R64
Texas Southern,22–12,2015,SWAC,232,15,34,22,12,100.7,106.5,0.3454,49.4,48.9,19.9,18.7,34,34.2,46.5,32.6,50,48,32,34.2,63.7,-4.5,R64
West Virginia,26–8,2016,B12,4,3,34,26,8,115.5,89.9,0.9473,50.2,48.8,19.6,25.5,41.9,27.2,46.1,54.8,50.7,48.2,32.9,33.2,70.9,7.4,R64
Michigan St.,29–5,2016,B10,5,2,34,29,5,121.4,94.7,0.9459,56,42.6,17.5,14.2,37.2,24.2,30,34,51.1,41.3,43.4,30.2,67.5,7.2,R64
Purdue,26–8,2016,B10,9,5,34,26,8,116.5,92.6,0.9339,53.7,44.3,17.5,13.8,35.3,23.3,35.1,27.7,52.9,43,36.8,31.3,68.7,4.4,R64
Pittsburgh,20–11,2016,ACC,35,10,31,20,11,115.3,98,0.8667,51.3,50.5,17.4,17.1,37.4,27.5,36.6,32.6,50.7,48.7,35.1,35.8,66.5,1.8,R64
Texas Tech,19–12,2016,B12,47,8,31,19,12,112.5,98.2,0.8273,49.9,49.3,17.7,18.9,31.7,32.4,43.1,32.9,49.2,47.2,34.5,35.2,67.3,1.3,R64
Oregon St.,18–12,2016,P12,62,7,30,18,12,109.8,97.9,0.79,49.9,49.4,16.8,19.5,29.4,32.3,37.2,39.3,47.1,49.5,37.3,32.8,68,0.3,R64
South Dakota St.,24–7,2016,Sum,78,12,31,24,7,110.3,100.5,0.745,51.4,47.7,17.1,17.1,32.4,25.5,40.6,39.7,49.7,46.8,36.2,33.1,69.2,-1.2,R64
UNC Wilmington,23–7,2016,CAA,99,13,30,23,7,108.5,100.5,0.7075,51.2,47.1,16,20.1,32.1,29.9,35.9,54.3,51.2,45.5,34.1,34.1,71.2,-0.7,R64
Cal St. Bakersfield,21–8,2016,WAC,100,15,29,21,8,102.9,95.4,0.7056,49.3,44.7,18.1,21.8,34,29.6,38.5,42,48.4,42.6,34.6,32.6,68.5,-3.5,R64
Stony Brook,24–6,2016,AE,105,13,30,24,6,105.8,98.7,0.6908,53.2,47.3,17.2,18.5,34.4,25.8,32.5,27.6,51.9,45.2,37.5,34.2,67.5,-1.1,R64
Weber St.,23–8,2016,BSky,132,15,31,23,8,102.7,99.6,0.5875,54.9,47.2,19.7,15.5,26,25.2,46.6,28.8,55.5,45.1,36,35.2,67.9,-3.7,R64
UNC Asheville,20–11,2016,BSth,146,15,31,20,11,101,99.1,0.553,49.9,48.7,18.6,22.4,31.6,29.4,42.4,33.4,50.6,51.7,32.2,28.8,71.1,-6.3,R64
Florida Gulf Coast,16–13,2016,ASun,174,16,29,16,13,102.1,103,0.4769,51.2,48.1,16.9,16.2,31.5,27.5,36.4,36.1,50.9,49,34.6,31,67.7,-8.4,R64
Hampton,20–10,2016,MEAC,271,16,30,20,10,97.8,106.9,0.2634,47.2,48,18.9,16.9,34.9,27.4,42,36.4,47.6,47.2,30.9,33.2,72,-6.3,R64
SMU,30–4,2017,Amer,11,6,34,30,4,118.7,93.5,0.9399,54.7,45.7,17,18.3,37.5,26.3,36.5,24.5,51.2,43.5,40.6,32.2,64.9,6.4,R64
Oklahoma St.,19–12,2017,B12,22,10,31,19,12,125.1,101.1,0.9209,53.8,52.8,18.3,20.8,38,32.2,37.8,45.6,50,52.5,40.3,35.5,73,3.3,R64
Marquette,19–12,2017,BE,29,10,31,19,12,121.4,101.2,0.891,57.6,51.9,17.1,18.5,27.3,28.9,31.1,35.9,52.7,50.2,43,36.9,71.5,0.6,R64
Vanderbilt,19–15,2017,SEC,33,9,34,19,15,112.8,94.9,0.8794,52.3,47.9,18.3,16,25,27.1,34.9,30.6,48.3,46.7,37.7,33.6,67,0.1,R64
Maryland,23–8,2017,B10,40,6,31,23,8,113,97.1,0.851,52.6,47.1,19.1,17.9,30.6,32.3,38.6,32.2,50.9,45.3,36.7,34,68.6,3.7,R64
Dayton,23–7,2017,A10,47,7,30,23,7,111,96.5,0.8346,54.2,47.7,17.1,20.8,25.8,27,43.7,34.6,51.8,47.2,38.7,32.4,69.8,1.5,R64
VCU,26–8,2017,A10,59,10,34,26,8,107.8,95.6,0.8,51.1,47.1,17.9,21,31.4,27.5,36.3,39.8,51.5,45.5,33.4,33.8,69.7,1.3,R64
Nevada,28–6,2017,MWC,61,12,34,28,6,113.3,100.9,0.791,52.7,47.9,15.7,15.9,30.6,26.2,41.8,28.1,49.3,48.9,38.5,30.7,71,1.7,R64
Princeton,22–6,2017,Ivy,66,12,28,22,6,107.9,96.5,0.7831,53.5,48.9,15.2,20.6,24.2,24.7,24.9,31.7,50.4,47.2,38.1,34.4,64.3,-0.4,R64
Bucknell,26–8,2017,Pat,83,13,34,26,8,107.3,99.4,0.7074,55.4,48,18.8,19.7,26.8,27.4,37.2,32.7,54.6,46.5,37.7,34,71.3,-2.1,R64
New Mexico St.,25–5,2017,WAC,88,14,30,25,5,108.8,101.6,0.6864,52.8,47.4,19.7,19.2,36,28.3,44.1,35.3,54.5,48.7,33.4,30,68.8,-0.3,R64
Florida Gulf Coast,23–7,2017,ASun,111,14,30,23,7,108.3,103.8,0.6199,54.1,49.1,18.1,17.3,34.6,29.6,34,34.8,55.6,50.3,34,31.4,66.8,-1.7,R64
Winthrop,24–6,2017,BSth,120,13,30,24,6,105.2,101.6,0.5981,53.7,46.4,17.9,18.7,27,28.7,38.9,33.8,51.2,45.7,38,31.8,72.2,-1.8,R64
Iona,22–12,2017,MAAC,130,14,34,22,12,108.5,105.2,0.5855,53.4,49.6,16.5,18,26.9,31.7,31.2,33.4,49.3,47.2,39.7,36,71.7,-5.8,R64
Troy,20–14,2017,SB,142,15,34,20,14,108.6,106.9,0.5439,51.8,49.9,17.6,17.7,30.6,29.6,40.6,32.6,50.8,49.5,35.5,33.7,69.4,-8.1,R64
Kent St.,21–13,2017,MAC,149,14,34,21,13,103.6,102.4,0.5342,48.1,49.6,18.1,19.3,38.1,30,33,34.2,48.6,47.9,31.4,35,69.6,-7.2,R64
North Dakota,19–9,2017,BSky,169,15,28,19,9,101.8,102.4,0.4839,53.4,50.3,18.7,20,26.2,27.9,36.6,39.4,51.6,49.4,38.4,34.8,72.3,-5.3,R64
Mount St. Mary's,19–15,2017,NEC,207,16,34,19,15,98,101.6,0.3972,50.9,49.6,19.2,21.7,23,34.5,32.8,33.3,49.5,48.8,35.7,34.4,68.4,-7.9,R64
Texas Southern,23–11,2017,SWAC,221,16,34,23,11,101.4,106.6,0.359,48.2,48.9,16.6,19.3,32.3,34.4,44.9,32.2,50.1,49,29.7,32.4,69.9,-4.4,R64
Creighton,20–11,2018,BE,17,8,31,20,11,117.2,96.9,0.8989,58,50,15.4,15.8,21.8,24.7,27.1,24.2,59.3,50.1,37.6,33.2,72.4,2,R64
Miami FL,22–9,2018,ACC,28,6,31,22,9,112.5,95.4,0.8689,53,48.8,16.5,18.9,29,28.3,29.1,28.4,52.2,48.7,36.3,32.6,68.3,2.7,R64
Arizona,27–7,2018,P12,29,4,34,27,7,117.3,99.9,0.8636,56.6,49.3,17.6,16.7,33.2,25,37.6,31.8,56.6,47.4,37.7,35.2,68.5,3.8,R64
Missouri,19–12,2018,SEC,30,8,31,19,12,112.9,96.2,0.8634,54.5,46.6,20.7,16,30.8,28.3,38.2,29.4,50.8,45.6,39.2,32.3,66.8,0.4,R64
Oklahoma,18–13,2018,B12,34,10,31,18,13,115.8,99.1,0.8564,53.8,51.2,17.3,17.1,27.9,30,33.1,25.6,53.4,49.5,36.3,36.1,77,1.1,R64
Arkansas,23–11,2018,SEC,36,7,34,23,11,116.9,100.1,0.8555,54.2,50.2,15.3,19.4,29.4,31.6,37.3,41.4,51.4,48,40,35.5,71.1,2.8,R64
San Diego St.,21–10,2018,MWC,45,11,31,21,10,110.5,95.6,0.8416,52,48.8,17,19.3,31.8,25.3,34.3,29.2,52.3,48.3,34.3,33.1,70,-1.5,R64
New Mexico St.,25–5,2018,WAC,55,12,30,25,5,106.7,94.1,0.8099,51.8,45.5,17.4,19.3,34.2,22.8,29.1,33.6,52.3,45,34,30.8,69.3,1.3,R64
Providence,21–13,2018,BE,59,10,34,21,13,108.5,96.3,0.7981,49.6,50.1,17.6,18.9,29.4,28.9,39.2,31.4,49.5,51.3,33.3,32.1,68.3,1.9,R64
South Dakota St.,24–6,2018,Sum,63,12,30,24,6,113.4,101,0.7899,54.5,50.2,13.8,14.3,24.7,22.9,35.8,25.5,51.2,49.8,39.2,33.8,71.4,0.6,R64
Murray St.,24–5,2018,OVC,79,12,29,24,5,110.9,101.1,0.7444,55.2,46.9,17.3,18.2,32.5,27.2,37.1,30.2,54.5,47.2,37.4,30.8,68,-0.4,R64
