TEAM,Record,YEAR,CONF,Rank,SEED,Games,Wins,Losses,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,POSTSEASON
Iona,22–10,2016,MAAC,111,13,32,22,10,108.7,102.7,0.6569,53.8,48.5,17.6,19.4,29.4,31.3,32.5,36.2,52.3,45.8,37.2,35.5,72.5,-3.6,R64
Fresno St.,23–9,2016,MWC,112,14,32,23,9,105.5,99.7,0.6548,48.2,48.5,14.9,20.8,30.3,29,38.1,46.4,46.8,47.9,34.3,32.9,69.8,-0.9,R64
Chattanooga,27–5,2016,SC,113,12,32,27,5,105.7,100.2,0.6501,51.8,49.8,17.9,20.3,32.4,28.9,42,30.8,50.4,50,36.1,33,67.1,0.4,R64
Miami FL,21–11,2017,ACC,28,8,32,21,11,110.7,92,0.8937,51.2,47.2,19.6,18.3,33.7,27.9,34.3,28.8,49.9,45.9,35.9,33.1,64.7,2.9,R64
Virginia Tech,22–10,2017,ACC,45,9,32,22,10,116.5,101.1,0.8361,57,50.9,17.2,16.6,23.4,29.9,40.5,26.9,54.8,49.1,40.3,36,70,3.3,R64
Seton Hall,21–11,2017,BE,56,9,32,21,11,108.6,95.5,0.8135,50.2,49,19.4,17.6,35.3,25.4,37.9,36.1,50,48,33.7,34,68.8,2.7,R64
UNC Wilmington,27–5,2017,CAA,63,12,32,27,5,116.8,104.4,0.7846,55.2,53.1,13.9,20.3,32.5,28.8,30.9,39.4,56.1,54.2,36,33.7,71.3,1.5,R64
East Tennessee St.,25–7,2017,SC,72,13,32,25,7,106.8,96.6,0.7598,56.1,48.5,20.6,22,30,27.1,43.8,37.8,55.4,45.3,38.2,35.6,71.5,-0.7,R64
Northern Kentucky,22–10,2017,Horz,150,15,32,22,10,105.4,104.2,0.5328,52.9,49.8,19,17,31.3,26.3,37.3,30,51.9,50.1,36.1,32.8,69.2,-4.9,R64
Jacksonville St.,18–14,2017,OVC,176,15,32,18,14,103.8,104.7,0.4736,52.4,49.3,20.7,16.8,31.5,28,33.8,34.8,50.9,44.7,36.7,37.9,65.2,-8.1,R64
South Dakota St.,16–16,2017,Sum,199,16,32,16,16,108.5,111.5,0.4227,53.8,54,18.3,16.3,27.4,28.8,40.6,27.1,53.4,52.4,36.1,37.3,68.6,-9.8,R64
UC Davis,20–12,2017,BW,202,16,32,20,12,97.7,100.9,0.41,48.7,48.4,20.2,20,29.6,28.3,41.1,33.6,46.9,48.1,35.1,32.7,70.1,-7.5,R64
TCU,21–11,2018,B12,25,6,32,21,11,120.2,100.9,0.8823,56.9,52.7,17.7,17.6,34.5,25.9,34.1,30.7,55.2,50.4,40,37.9,70.1,2.2,R64
Wichita St.,25–7,2018,Amer,26,4,32,25,7,120.2,101.4,0.8761,55.3,49.3,16.4,16.4,35.2,22.7,35.1,33.1,53.8,45.8,38.5,36.3,70.2,3.4,R64
Virginia Tech,21–11,2018,ACC,40,8,32,21,11,114.2,98.2,0.8503,57.5,49.9,16.9,18.4,23.5,29.1,36.5,28.7,57.3,48.6,38.5,34.5,70.3,1.3,R64
Davidson,21–11,2018,A10,52,12,32,21,11,116.5,102.4,0.8153,57.7,51.2,14.5,16.2,22.7,23.4,24.5,28.6,56.8,50,39.1,35.2,65.4,-2.9,R64
North Carolina St.,21–11,2018,ACC,53,9,32,21,11,114.6,100.9,0.8126,53.3,51.5,16.9,20.7,33.6,31.9,33.9,32.6,52.1,53.5,37.2,31.6,72.8,0.9,R64
St. Bonaventure,25–7,2018,A10,78,11,32,25,7,110.3,100.4,0.7456,52.3,48.9,16.3,20.4,30.1,29.6,39.9,39.3,48.5,49.6,39.8,32,70.3,1.4,R64
Georgia St.,22–10,2018,SB,104,15,32,22,10,107.1,100.6,0.6725,54.1,47.1,16.7,20.8,25.8,32.8,31.6,39.1,50.9,43.9,39.1,33.9,67.9,-5.1,R64
Wright St.,23–9,2018,Horz,132,14,32,23,9,99.5,96.4,0.5894,49,48.3,18.6,21.1,28.8,24.9,36,30,48,45.6,34,34.9,69.3,-3.5,R64
Radford,20–12,2018,BSth,187,16,32,20,12,101.5,103.2,0.4521,49.4,49.5,18.6,20.2,32.2,28.3,31.6,31.4,47.3,48.4,35.1,34.2,64,-6.5,R64
VCU,25–7,2019,A10,24,8,32,25,7,104,86.9,0.8867,50.6,43,20.1,23.5,31,30.6,36,37.2,53.7,43.8,30.7,27.6,69.6,1.4,R64
Mississippi,20–12,2019,SEC,37,8,32,20,12,113.1,96.6,0.8597,53,50.6,18.2,21,30.4,29.5,31.7,33.2,52.6,47.8,35.8,37.2,69.7,1,R64
New Mexico St.,28–4,2019,WAC,52,12,32,28,4,111.6,98.8,0.8013,54,48.7,17.7,19.3,37,22.7,34.1,32.4,56.4,47.9,34.2,33.3,66.9,1.6,R64
